,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
100,60100,138.99648,36.315367,２丁目,260436,,28521535.0,,Suburb,,群馬県,,23424856.0,日本,22.0,22.0,4.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
101,60101,139.621932,35.909786,５丁目,260438,,28521824.0,,Suburb,,埼玉県,,23424856.0,日本,17.0,17.0,3.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
102,60102,123.0,24.46667,Yonakuni,89692,1848266.0,,1684.0,,PPL,,JP,,,,,,,0,0,3,JP,10.0,locality,import,,,,Yonaguni,908
103,60103,132.11667,33.96667,Yanai,89695,1848550.0,,32229.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Yanai,101
104,60104,139.11667,36.3,Tamamura,89758,1850746.0,,42566.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Tamamura, Gunma",294
105,60105,123.74836,24.36097,Shirahama,89787,1851939.0,,300.0,,PPL,,JP,,,,,,,0,0,2,JP,10.0,locality,import,,,,"Shirahama, Wakayama",442
106,60106,138.5,35.65,Ryūō,89823,1853354.0,,43180.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Ryūō,76
107,60107,129.48333,28.36667,Naze,89868,1855540.0,,41365.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,The Naze,342
108,60108,139.8,36.41667,Mibu,89913,1857379.0,,39728.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Mibu, Tochigi",241
109,60109,139.38333,36.21667,Menuma,89914,1857403.0,,27684.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Tobu Kumagaya Line,424
110,60110,131.61667,33.41667,Kitsuki,89963,1859234.0,,23353.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Kitsuki, Ōita",52
111,60111,133.43333,33.55,Ino,90029,1861584.0,,24123.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Ino,220
112,60112,133.18333,34.28333,Innoshima,90030,1861586.0,,26141.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Innoshima, Hiroshima",72
113,60113,139.07639,35.99028,Chichibu,90101,1864637.0,,58507.0,,PPL,,JP,,,,,,,0,0,8,JP,10.0,locality,import,,,,"Chichibu, Saitama",1440
114,60114,135.510715,34.629487,３丁目,261863,,28558726.0,,Suburb,,大阪府,,23424856.0,日本,8.0,8.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Tama and Friends,859
115,60115,133.537,33.559,２丁目,261864,,28576711.0,,Suburb,,高知県,,23424856.0,日本,16.0,16.0,3.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
116,60116,130.193481,32.45937,天草郡,262192,,24857273.0,,County,,熊本県,,23424856.0,日本,39.0,78.0,8.0,1.0,2,3,0,JP,9.0,county,import,,天草郡_county_JP,天草郡_county_JP_130_32,"Amakusa District, Kumamoto",196
117,60117,142.20137,27.08267,Hutami,107140,7302437.0,,897.0,,PPL,,JP,,,,,,,0,0,2,JP,10.0,locality,import,,,,Siti Hartinah,492
118,60118,135.25629,34.341947,阪南市,262918,,15015450.0,,Town,,大阪府,,23424856.0,日本,17.0,45.0,3.0,1.0,1,2,0,JP,9.0,locality,import,,,,"Hannan, Osaka",412
119,60119,135.775136,34.999066,東山区,262919,,15015559.0,,County,,京都府,,23424856.0,日本,11.0,11.0,2.0,1.0,1,1,0,JP,9.0,county,import,,東山区_county_JP,東山区_county_JP_136_35,"Higashiyama-ku, Kyoto",338
120,60120,135.74707,35.020999,上京区,262920,,15015560.0,,County,,京都府,,23424856.0,日本,23.0,23.0,5.0,1.0,1,1,0,JP,9.0,county,import,,上京区_county_JP,上京区_county_JP_136_35,Kamigyō-ku,223
121,60121,135.759344,34.981205,南区,262921,,15015561.0,,County,,京都府,,23424856.0,日本,3.0,3.0,1.0,1.0,1,1,0,JP,9.0,county,import,,南区_county_JP,南区_county_JP_136_35,Fengnan District,152
122,60122,129.228744,28.275962,宇検村,263131,,24854282.0,,Town,,鹿児島県,JP,23424856.0,日本,37.0,37.0,7.0,1.0,2,2,0,JP,4.0,locality,import,,,,"Uken, Kagoshima",241
123,60123,130.871633,33.618433,赤村,263191,,24854404.0,,Town,,福岡県,,23424856.0,日本,27.0,27.0,5.0,1.0,2,2,0,JP,9.0,locality,import,,,,"Aka, Fukuoka",54
124,60124,134.26294,33.80012,Naka-chō,904219,7406329.0,,0.0,,ADM2,,JP,,,,,,,0,0,0,JP,10.0,county,import,,naka-chō_county_JP,naka-chō_county_JP_134_34,"Naka, Tokushima",84
125,60125,139.49929,35.4207,Izumi-ku,904238,7470869.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,Izumi-ku,31
126,60126,141.352333,43.052,５丁目,264788,,28495310.0,,Suburb,,北海道,,23424856.0,日本,5.0,5.0,1.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
127,60127,141.347564,43.051483,８丁目,264789,,28495313.0,,Suburb,,北海道,,23424856.0,日本,23.0,23.0,5.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Asahikawa Station,182
128,60128,141.354024,43.049893,４丁目,264790,,28495336.0,,Suburb,,北海道,,23424856.0,日本,23.0,23.0,5.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Nagai Station (Osaka),412
129,60129,141.355805,43.044491,１丁目,264791,,28495418.0,,Suburb,,北海道,,23424856.0,日本,11.0,11.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
130,60130,141.3430215,43.088907,５丁目,264792,,28495911.0,,Suburb,,北海道,,23424856.0,日本,8.0,8.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
131,60131,141.355687,43.068833,１丁目,264793,,28496757.0,,Suburb,,北海道,,23424856.0,日本,9.0,9.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
132,60132,139.682442,35.813652,２丁目,264801,,28523467.0,,Suburb,,埼玉県,,23424856.0,日本,5.0,5.0,1.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
133,60133,139.697271,35.805453,１丁目,264802,,28523476.0,,Suburb,,埼玉県,,23424856.0,日本,8.0,8.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
134,60134,135.984344,33.731621,１丁目,264804,,28570678.0,,Suburb,,和歌山県,,23424856.0,日本,15.0,15.0,3.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
135,60135,135.944611,33.627866,１丁目,264805,,28570704.0,,Suburb,,和歌山県,,23424856.0,日本,23.0,23.0,5.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
136,60136,130.931119,33.954538,５丁目,264808,,28573988.0,,Suburb,,山口県,,23424856.0,日本,9.0,9.0,2.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Koishikawa,153
137,60137,132.17593,34.158524,２丁目,264812,,28574562.0,,Suburb,,山口県,,23424856.0,日本,3.0,3.0,1.0,1.0,1,1,0,JP,9.0,neighbourhood,import,,,,Pippu Station,64
