,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55070,143891,08c3db1a-8f76-11e1-848f-cfd5bf3ef515,,85941685.0,,,,4257900.0,Q2192003,1827270.0,,,,"Gentryville, Indiana",2409567.0,,328367.0,,,,
55071,143892,08c81ea0-8f76-11e1-848f-cfd5bf3ef515,,85941537.0,,,,4923692.0,Q3293484,1850058.0,,,,"Modoc, Indiana",2452639.0,,1315757.0,,,,
55072,143893,08c431aa-8f76-11e1-848f-cfd5bf3ef515,,85941687.0,,,,4258148.0,Q3287719,1828692.0,,,,"Grandview, Indiana",2412938.0,,1077899.0,,,,
55073,143894,,,85937673.0,,,,5856516.0,Q2152159,1500400.0,,,,"Ahuimanu, Hawaii",2352320.0,,1053347.0,,,,
55074,143895,08caf6ca-8f76-11e1-848f-cfd5bf3ef515,,85941541.0,,,,4925398.0,Q2805012,1864422.0,,,,"Ridgeville, Indiana",2481263.0,,1050549.0,,,,
55075,143896,08cb1f88-8f76-11e1-848f-cfd5bf3ef515,,85940641.0,,,,4248330.0,Q2634575,1764811.0,,,,"Rockbridge, Illinois",2483273.0,,1048229.0,,,,
55076,143897,08c5cb78-8f76-11e1-848f-cfd5bf3ef515,,85940643.0,,,,4242062.0,Q2502483,1738869.0,,,,"Kane, Illinois",2430594.0,,198360.0,,,,
55077,143898,,,101806877.0,,,,2946745.0,Q557136,,,,,Böklund,,,9.0,,,,
55078,143899,08c50c38-8f76-11e1-848f-cfd5bf3ef515,,85940645.0,,,,4240760.0,Q2612195,1735203.0,,,,"Hillview, Illinois",2422302.0,,341734.0,,,,
55079,143900,08cedeac-8f76-11e1-848f-cfd5bf3ef515,,85940913.0,,,,4917171.0,Q1972787,1783518.0,,,,"Worth, Illinois",2523999.0,,467369.0,,,,
55080,143901,,,85937683.0,,,,5856844.0,Q2849484,1520000.0,,,,"Kaanapali, Hawaii",2430399.0,,485757.0,,,,
55081,143902,,,85937681.0,,,,5847411.0,Q1012975,1522700.0,,,,"Kahului, Hawaii",2430447.0,,274840.0,,,,
55082,143903,08c2ba5a-8f76-11e1-848f-cfd5bf3ef515,,85940651.0,,,,4237777.0,Q2671272,1723022.0,,,,"Eldred, Illinois",2398160.0,,949017.0,,,,
55083,143904,,,101806885.0,,,,2866208.0,Q556904,,,,,Neuberend,,,1038994.0,,,,
55084,143905,08c8af50-8f76-11e1-848f-cfd5bf3ef515,,85940657.0,,,,4245463.0,Q1958857,1752116.0,,,,"New Athens, Illinois",2457993.0,,187597.0,,,,
