,wk_page_id,wk_name,wiki_id
36,5947907,Villanova del Battista,Q55139
37,6211399,Palo del Colle,Q51838
38,5947802,Santo Stefano del Sole,Q55107
39,6769265,Roccamonfina,Q58824
40,6769362,San Potito Sannitico,Q58867
41,6735238,Casola in Lunigiana,Q52230
42,6769428,Sparanise,Q58901
43,3411326,Noci,Q51836
44,6768938,Francolise,Q58595
45,6769112,Piana di Monte Verna,Q58744
46,6770213,Dugenta,Q55901
47,6768755,Carinola,Q58498
48,6768839,Castello del Matese,Q58564
49,6769877,Valle Agricola,Q58920
0,1106217,Fondi,Q128084
1,3331276,Pontelandolfo,Q55951
2,6770293,Frasso Telesino,Q55912
3,6770274,Fragneto l'Abate,Q55911
4,6770113,Casalduni,Q55886
5,6770323,Melizzano,Q55918
6,6824467,Roccamandolfi,Q279544
7,6257052,San Ferdinando di Puglia,Q23217
8,6770194,Colle Sannita,Q55896
9,6770092,Campolattaro,Q55884
10,5667304,Sabaudia,Q128165
11,6824520,Sesto Campano,Q279682
12,6211492,Spinazzola,Q23253
13,5844615,San Felice Circeo,Q128170
14,3776949,Lenola,Q6523059
15,517584,Ponte,Q2669455
16,6770377,Pago Veiano,Q55940
17,6770285,Fragneto Monforte,Q55908
18,5844536,Sonnino,Q128211
19,1870973,Pietrelcina,Q55949
20,6770135,Castelpagano,Q55888
21,200995,Cisterna di Latina,Q128065
22,6770029,Arpaia,Q55850
23,5180151,Margherita di Savoia,Q444692
24,6770332,Moiano,Q55919
25,6770572,Santa Croce del Sannio,Q55979
26,6754553,Maenza,Q128103
27,1591363,Guardia Sanframondi,Q55914
28,1593984,San Lorenzo Maggiore,Q55966
29,6754624,Roccasecca dei Volsci,Q128163
30,6770473,San Bartolomeo in Galdo,Q55954
31,5844399,"Aprilia, Lazio",Q128052
32,2583394,Sezze,Q128206
33,6824270,Capracotta,Q278911
34,6770526,San Lorenzello,Q55960
35,75753,Aprilia,Q622062
36,6770186,Circello,Q55895
37,6257132,Trinitapoli,Q23269
38,7439313,San Nazzaro,Q389748
39,15668858,Cogna,Q735437
40,6770588,Sant'Angelo a Cupolo,Q55977
41,13757535,Antonello Matarazzo,Q2857061
42,3018051,Minervino Murge,Q23203
43,6770425,Pesco Sannita,Q55946
44,1022771,Formia,Q128086
45,6770177,Cerreto Sannita,Q55894
46,1726683,Terracina,Q128226
47,6770537,San Marco dei Cavoti,Q55968
48,6770508,San Giorgio La Molara,Q55956
49,1593977,San Lupo,Q55967
0,3976600,Veroli,Q42466
1,6768153,Viticuso,Q117621
2,5605419,Casalvecchio di Puglia,Q51904
3,6824461,Rionero Sannitico,Q279530
4,6257108,Torremaggiore,Q51964
5,6767710,Monte San Giovanni Campano,Q116952
6,5803857,Sant'Elia Fiumerapido,Q117333
7,4519609,Franco Rocchetta,Q3751560
8,6768038,Supino,Q117395
9,6767632,Filettino,Q116836
10,30876838,Pontecorvo,Q117186
11,6257165,Volturino,Q51969
12,5804111,Ceprano,Q116716
13,6257158,Stornara,Q51962
14,6767860,Ripi,Q117198
15,5910943,Fiuggi,Q116840
16,6256793,Casalnuovo Monterotaro,Q51902
17,6824375,Macchia d'Isernia,Q279237
18,6767955,Sant'Andrea del Garigliano,Q117319
19,6767926,San Giovanni Incarico,Q117242
20,6767848,Posta Fibreno,Q117189
21,5803951,Paliano,Q116961
22,6257078,San Marco in Lamis,Q51952
23,1137912,Alatri,Q18400
24,6241588,Biccari,Q51893
25,6257059,Rignano Garganico,Q51947
26,6824456,Pozzilli,Q221900
27,6824332,Civitanova del Sannio,Q279026
28,6824334,Colli a Volturno,Q263382
29,6767940,Sant'Ambrogio sul Garigliano,Q117312
30,6767662,Fumone,Q116884
31,6257129,Stornarella,Q51963
32,6257015,Pietramontecorvino,Q14229361
33,6520090,Pianezza,Q9569
34,157141,Anagni,Q116404
35,6824251,Bagnoli del Trigno,Q278868
36,6767913,San Giorgio a Liri,Q117236
37,5911093,Boville Ernica,Q116552
38,982612,Frosinone,Q13413
39,5205028,Ceccano,Q116706
40,5804004,Roccasecca,Q117211
41,6754653,Acuto,Q116377
42,6824407,Pescolanciano,Q279328
43,6824288,Carpinone,Q278931
44,4275886,Macchiagodena,Q279247
45,6824348,Forlì del Sannio,Q279177
46,761879,Isernia,Q13450
47,6767772,Pescosolido,Q116976
48,6767979,San Vittore del Lazio,Q117303
49,6767695,Guarcino,Q116943
0,6782641,Baranello,Q277368
1,6783098,Ripalimosani,Q277946
2,6257046,Poggio Imperiale,Q51946
3,5667346,Pomezia,Q243172
4,6782966,Montecilfone,Q277712
5,6241592,Cagnano Varano,Q51896
6,6544674,San Michele al Tagliamento,Q47271
7,6754211,Olevano Romano,Q243128
8,6211645,Ascoli Satriano,Q51892
9,6211608,Anzano di Puglia,Q51890
10,6256843,Chieuti,Q51924
11,6783295,Vinchiaturo,Q278271
12,6783196,Sant'Elia a Pianisi,Q185748
13,6754513,Fonte Nuova,Q242637
14,5802791,Zagarolo,Q140255
15,6257123,Serracapriola,Q51961
16,1448598,Bellegra,Q241780
17,6754017,Gallicano nel Lazio,Q242661
18,6754106,Marano Equo,Q242901
19,6783073,Portocannone,Q277900
20,6754387,San Polo dei Cavalieri,Q243371
21,6754333,Roiate,Q243243
22,4347552,Guglionesi,Q277627
23,1086093,Jenne,Q6177797
24,6754238,Pisoniano,Q243152
25,6783149,San Martino in Pensilis,Q278166
26,6754374,San Gregorio da Sassola,Q243364
27,371436,Carpino,Q51901
28,6782978,Montefalcone nel Sannio,Q277714
29,4056845,Mirabello Sannitico,Q277693
30,6782859,Jelsi,Q277635
31,3040607,Deliceto,Q51925
32,934329,Lesina,Q242559
33,6211635,Apricena,Q51891
34,6754488,Lariano,Q242807
35,6440,Colonna family,Q327202
36,6257137,Zapponeta,Q51970
37,6783285,Ururi,Q278395
38,6257013,Orta Nova,Q51940
39,6754066,Lanuvio,Q242793
40,6782758,Castelmauro,Q277449
41,6256816,Castelluccio dei Sauri,Q51917
42,6782778,Cercemaggiore,Q277460
43,6241603,Carapelle,Q51899
44,6211564,Accadia,Q51887
45,3497560,Monteleone di Puglia,Q51936
46,3683025,Bojano,Q277374
47,5364434,Poli,Q402404
48,2167431,Agosta,Q395502
49,6754415,San Vito Romano,Q243377
0,6297420,Roccabernarda,Q54515
1,6297472,Scandale,Q54521
2,6028081,Pallagorio,Q54512
3,6293019,Saracena,Q53995
4,6028072,Mesoraca,Q54511
5,5948335,Carunchio,Q51192
6,5968451,Martirano Lombardo,Q53654
7,43759195,Alphabetical list of comuni of Italy: C,Q17989149
8,6293098,Frascineto,Q53883
9,5967456,Belcastro,Q53496
10,6001716,Castelsilano,Q54499
11,6297440,San Nicola dell'Alto,Q54517
12,6292785,Trebisacce,Q54032
13,1903524,Forenza,Q52571
14,6003224,Cotronei,Q54503
15,5948895,Ateleta,Q47110
16,6291571,Alessandria del Carretto,Q53824
17,6003204,Cirò Marina,Q54502
18,6001908,Cerenzia,Q54500
19,13855011,Ciro,Q5121936
20,5603331,Cutro,Q54508
21,5974256,San Mango d'Aquino,Q53687
22,5950539,Roccaraso,Q50138
23,6291928,Roseto Capo Spulico,Q53951
24,5950481,Pescocostanzo,Q50123
25,5948546,Castiglione Messer Marino,Q51202
26,6292485,Villapiana,Q54037
27,6753812,Anticoli Corrado,Q241708
28,5967480,Carlopoli,Q53504
29,2561894,Melissa,Q830357
30,5968446,Petronà,Q53677
31,4271964,Scanno,Q7430083
32,6297450,Santa Severina,Q54519
33,5967544,Decollatura,Q53518
34,5997739,Carfizzi,Q54497
35,3541723,Martirano,Q53652
36,6297460,Umbriatico,Q54523
37,6028051,Crucoli,Q54506
38,5974291,Soveria Mannelli,Q53724
39,5968408,Marcedusa,Q53647
40,6028158,Petilia Policastro,Q54513
41,6297399,Rocca di Neto,Q54514
42,23158308,"Foresta, California",Q5469208
43,6291651,Amendolara,Q53828
44,6291560,Albidona,Q53823
45,6292579,San Lorenzo Bellizzi,Q53970
46,2383371,Civita,Q5124781
47,6001935,San Mauro Marchesato,Q54516
48,6003356,Strongoli,Q54522
49,5997712,Caccuri,Q54496
0,6292419,San Giovanni in Fiore,Q53969
1,6293343,Luzzi,Q53900
2,1625940,Corigliano Calabro,Q53870
3,6292495,Cerisano,Q53863
4,6291878,Castiglione Cosentino,Q53854
5,6292913,Laino Borgo,Q53890
6,6292817,Francavilla Marittima,Q53882
7,6292830,Torano Castello,Q54027
8,6292835,Piane Crati,Q53934
9,6292775,Roggiano Gravina,Q53948
10,6292401,Figline Vegliaturo,Q53879
11,6292549,Orsomarso,Q53925
12,6293311,Domanico,Q53876
13,6292337,Carolei,Q53851
14,6293498,Scalea,Q54000
15,6292273,Montegiordano,Q53918
16,6292508,Fagnano Castello,Q53877
17,6293162,Rogliano,Q53949
18,6293371,Rovito,Q53954
19,6293006,San Marco Argentano,Q53974
20,6293142,Dipignano,Q53874
21,4941588,Seregno,Q40813
22,6292522,Santo Stefano di Rogliano,Q53993
23,6292841,Rocca Imperiale,Q53947
24,6292991,Paterno Calabro,Q53931
25,1146181,San Sosti,Q53981
26,6291843,Grisolia,Q53885
27,6292649,Verbicaro,Q54035
28,6292871,Mottafollone,Q53921
29,6291623,Altomonte,Q53826
30,6293350,Firmo,Q53880
31,6292635,Vaccarizzo Albanese,Q54034
32,6292805,Cervicati,Q53864
33,6292571,San Demetrio Corone,Q53961
34,6292537,Terranova da Sibari,Q54024
35,6754108,Marcellina,Q242917
36,6292948,Santa Sofia d'Epiro,Q53992
37,5948137,Acquaformosa,Q53816
38,2699984,Diamante,Q394056
39,6293360,Mangone,Q53909
40,2956801,Taverna,Q15097623
41,5543448,Santa Maria del Cedro,Q53990
42,6293210,Malvito,Q53905
43,6291671,Aprigliano,Q53830
44,6292618,Mormanno,Q53920
45,6293152,Tarsia,Q54020
0,6272176,Castri di Lecce,Q52126
1,6293292,Fuscaldo,Q53884
2,30916104,List of railway stations in Calabria,Q6636022
