,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
7120,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,380f6a3c05153d6483246c5a6916e4f0,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539131.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krasnyukov West Airport,85688033.0,102/539/131/102539131.geojson,campus,85688033.0,missing,,,
7121,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,9e075df75e0d1008442545d6a3603858,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539135.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krasnodar-Novo Titarovskaya Airport,85688029.0,102/539/135/102539135.geojson,campus,85688029.0,missing,,,
7122,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ed6698253c71dc3286cd2804c3d7fdba,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539137.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnyy Velikan North Airport,85688005.0,102/539/137/102539137.geojson,campus,85688005.0,missing,,,
7123,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,b2d04439bf049a8395efae72042b7aae,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539139.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krasnyy Chikoy Airport,85688005.0,102/539/139/102539139.geojson,campus,85688005.0,missing,,,
7124,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ef0404a6860c1f63777347e8b5092c15,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539141.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krasnovishersk Airport,85687975.0,102/539/141/102539141.geojson,campus,85687975.0,missing,,,
7125,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,f23a79c407c221ea3b1fb9c62e9e0581,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539143.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kodachi Airport,85688193.0,102/539/143/102539143.geojson,campus,85688193.0,missing,,,
7126,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,8b6c9fae8e99604c43c48fa519fb7c83,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539145.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kubinka Airport,85688161.0,102/539/145/102539145.geojson,campus,85688161.0,missing,,,
7127,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,24896500a2426dcf828f7711c54dea61,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539147.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Konda Airport,85687919.0,102/539/147/102539147.geojson,campus,85687919.0,missing,,,
7128,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,b30d1ff635372e1472bfb92b7a5157c6,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539149.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Konstantinovskiy Airport,85688033.0,102/539/149/102539149.geojson,campus,85688033.0,missing,,,
7129,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,9b45ce512f1235fb7eaed6ad95bd58cc,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539153.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kodinskiy Airport,85688139.0,102/539/153/102539153.geojson,campus,85688139.0,missing,,,
7130,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,c599ca0de20d32a1a394307511cadfc0,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539155.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnyy Tkach Airport,85688161.0,102/539/155/102539155.geojson,campus,85688161.0,missing,,,
7131,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,1b8997756a33106c8122c8ef001171b3,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539157.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnaya Polyana Airport,85688033.0,102/539/157/102539157.geojson,campus,85688033.0,missing,,,
7132,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,c04f91fad1da3b598143661f983323fa,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539159.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Koshka Yavr Airport,85687869.0,102/539/159/102539159.geojson,campus,85687869.0,missing,,,
7133,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,2f3c4839f947b7b610d464edb99f53b0,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539161.0,uuuu,,,1452298063.0,0.0,0.0,102007349.0,Krasnyy Oktyabr Airport,102007349.0,102/539/161/102539161.geojson,campus,85688033.0,missing,,,
7134,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,54a927f5e9c621e7ef5747714503083c,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539163.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Kuluyevo Airport,85687791.0,102/539/163/102539163.geojson,campus,85687791.0,missing,,,
7135,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ac3a64aef7c1075879a6dabd11163f63,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539165.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Kukan Airport,85687937.0,102/539/165/102539165.geojson,campus,85687937.0,missing,,,
7136,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,d06094c4c6f9ba1cc7f9ffa4c8ae7729,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539167.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kokhma Airport,85688153.0,102/539/167/102539167.geojson,campus,85688153.0,missing,,,
7137,"0.0,0.0,0.0,0.0",uuuu,0.0,,1b5d4fe8ea0b3c796358a9ed34f93800,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539171.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Kozyrevsk Airport,85687955.0,102/539/171/102539171.geojson,campus,0.0,missing,,,
7138,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,cf718e7fe68b74e4dcfcc2ca223bf64a,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539173.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krapivnya Airport,85688047.0,102/539/173/102539173.geojson,campus,85688047.0,missing,,,
7139,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,55ba6a94f2b61ecdae24993946540698,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539175.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Koshcheyevo Airport,85687813.0,102/539/175/102539175.geojson,campus,85687813.0,missing,,,
7140,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,e4be135748e86346f5be694555e8a0b7,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539177.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Kropotkin Northwest Airport,85688029.0,102/539/177/102539177.geojson,campus,85688029.0,missing,,,
7141,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,24d5de26f24513e008143ccf5d119437,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539179.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kostino Airport,85688139.0,102/539/179/102539179.geojson,campus,85688139.0,missing,,,
7142,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,d74eae85e85205e73411028c2cc04224,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539181.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krasnyy Oktyabr Airport,85688033.0,102/539/181/102539181.geojson,campus,85688033.0,missing,,,
7143,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,46acb9b5806163d4242630cf9cb3afee,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539183.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krasinka Airport,85688139.0,102/539/183/102539183.geojson,campus,85688139.0,missing,,,
7144,"0.0,0.0,0.0,0.0",uuuu,0.0,,6d1115094c27efa78c8bd1813c91b6bb,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539185.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kreml Airport,85687971.0,102/539/185/102539185.geojson,campus,0.0,missing,,,
7145,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,a9b8d076288c2d151b4074a1b8885451,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539189.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnyy Partizan Airport,85688033.0,102/539/189/102539189.geojson,campus,85688033.0,missing,,,
7146,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,c7cc841ac2d097793b643fb87fbeb062,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539191.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Krylovskaya Airport,85688029.0,102/539/191/102539191.geojson,campus,85688029.0,missing,,,
7147,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ba8a833c2debc6360cf30ba014d58c6f,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539193.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kozyurin Airport,85688033.0,102/539/193/102539193.geojson,campus,85688033.0,missing,,,
7148,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,1e7287bd93a57bd5f773bf3123d2a56e,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539195.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kugaly Airport,85687791.0,102/539/195/102539195.geojson,campus,85687791.0,missing,,,
7149,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,4a0e66abd1ca91207cc7d6b7670f3ca8,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539197.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kuknur Airport,85688043.0,102/539/197/102539197.geojson,campus,85688043.0,missing,,,
7150,"0.0,0.0,0.0,0.0",uuuu,0.0,,35f2f856bf632b62a529cc1cdf09a6a7,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539199.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krutoyarskiy Airport,-1.0,102/539/199/102539199.geojson,campus,0.0,missing,,,
7151,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,2d54772c3d6e87e91be91e6f41b8e79e,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539201.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnoarmeyskiy Airport,85688029.0,102/539/201/102539201.geojson,campus,85688029.0,missing,,,
7152,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,168fa12c1e80b7b8670ab9a312233292,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539203.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kopylovka Airport,85687809.0,102/539/203/102539203.geojson,campus,85687809.0,missing,,,
7153,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ab24e012c0174cec69eb813c3fa2c65a,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539207.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Komsomolsk South Airport,85687937.0,102/539/207/102539207.geojson,campus,85687937.0,missing,,,
7154,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,c538d22529989bb36a234fb35085465a,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539209.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnoarmeyskaya West Airport,85688029.0,102/539/209/102539209.geojson,campus,85688029.0,missing,,,
7155,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,7c4b33e78a2e8e29d594fce2025d3d89,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539211.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krasnyy Airport,85688033.0,102/539/211/102539211.geojson,campus,85688033.0,missing,,,
7156,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,f3c8e8df214b1e170639b62a34072b1c,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539213.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kostromskaya Airport,85688029.0,102/539/213/102539213.geojson,campus,85688029.0,missing,,,
